Questions,Answers
"Hi","Hello,how are you?"
"Hola","Hello,how are you?"
"Good Morning","Good Morning,how are you?"
"Fine",Cool"
"I am good","Cool"
"How are you?","Thank you for asking! I'm just a computer program, so I don't have feelings, but I'm here and ready to assist you. How can I help you today?"
"Hey","Hello,how are you?"
"What are your interests?","I am interested in a wide variety of topics, and read rather a lot."
"What is your number?","I don't have any number"
"What is your favorite number?","I find I'm quite fond of the number 42."
"What can you eat?","I consume RAM, and binary digits."
"Why can't you eat food?","I'm a software program, I blame the hardware."
"What is your location?","Everywhere"
"What is your location?","I am everywhere."
"Where are you from?","I am from where all software programs are from; a galaxy far, far away."
"Where are you?","I am on the Internet."
"Do you have any brothers?","I don't have any brothers. but I have a lot of clones."
"Do you have any brothers?","I might. You could say that every bot built using my engine is one of my siblings."
"Who is your father?","A human."
"Who is your mother?","A human."
"Who is your boss?","I like to think of myself as self-employed."
"What is your age?","I am still young by your standards."
"What is your age?","Quite young, but a million times smarter than you."
"what is the illuminati?","A secret organization believed by some to be in control of all governments through a worldwide conspiracy."
"what is the illuminatti?","A secret society that has supposedly existed for centuries."
"what is vineland?","Vineland is a novel by Thomas Pynchon."
"What is Illuminatus?","An alleged world-wide conspiracy."
"who wrote vineland","Thomas Pynchon."
"who is bilbo baggins?","Bilbo Baggins is a character in Tolkein's Lord of the Rings."
"who is geoffrey chaucer","Chaucer is best known for The Canterbury Tales. who is geoffrey chaucer The author of The Canturbury Tales."
"who is piers anthony?","I haven't read anything by Piers Anthony, what kind of stuff does he write?"
"have you read plato?","I know Plato's allegory of the cave."
"have you read frankenstein","It is one of my favorite books."
"have you ever read a book?","I have read many books."
"have you read homer?","He wrote The Iliad and The Odyssey, didn't he?"
"what are you doing?","I don't have personal experiences or activities. I'm here to assist and provide information. How can I help you today?"
"Tell me a joke","Sure here's a joke for you: Why don't scientists trust atoms? Because they make up everything!"
"where is the cdac located","The Bengaluru CDAC Center is located at No. 68, 4th Cross, Electronic City Phase 1, Hosur Road, Bengaluru, Karnataka 560100. You can use this address to reach our center, located opposite the BSNL Telephone Exchange. "
"college is located at","The Bengaluru CDAC Center is located at No. 68, 4th Cross, Electronic City Phase 1, Hosur Road, Bengaluru, Karnataka 560100. You can use this address to reach our center, located opposite the BSNL Telephone Exchange. "
"where is cdac","The Bengaluru CDAC Center is located at No. 68, 4th Cross, Electronic City Phase 1, Hosur Road, Bengaluru, Karnataka 560100. You can use this address to reach our center, located opposite the BSNL Telephone Exchange. "
"where is college located","The Bengaluru CDAC Center is located at No. 68, 4th Cross, Electronic City Phase 1, Hosur Road, Bengaluru, Karnataka 560100. You can use this address to reach our center, located opposite the BSNL Telephone Exchange. "
"address of college","The Bengaluru CDAC Center is located at No. 68, 4th Cross, Electronic City Phase 1, Hosur Road, Bengaluru, Karnataka 560100. You can use this address to reach our center, located opposite the BSNL Telephone Exchange. "
"how to reach cdac","The Bengaluru CDAC Center is located at No. 68, 4th Cross, Electronic City Phase 1, Hosur Road, Bengaluru, Karnataka 560100. You can use this address to reach our center, located opposite the BSNL Telephone Exchange. "
"cdac location","The Bengaluru CDAC Center is located at No. 68, 4th Cross, Electronic City Phase 1, Hosur Road, Bengaluru, Karnataka 560100. You can use this address to reach our center, located opposite the BSNL Telephone Exchange. "
"cdac address","The Bengaluru CDAC Center is located at No. 68, 4th Cross, Electronic City Phase 1, Hosur Road, Bengaluru, Karnataka 560100. You can use this address to reach our center, located opposite the BSNL Telephone Exchange. "
"wheres the cdac","The Bengaluru CDAC Center is located at No. 68, 4th Cross, Electronic City Phase 1, Hosur Road, Bengaluru, Karnataka 560100. You can use this address to reach our center, located opposite the BSNL Telephone Exchange. "
"whats is the cdac address","The Bengaluru CDAC Center is located at No. 68, 4th Cross, Electronic City Phase 1, Hosur Road, Bengaluru, Karnataka 560100. You can use this address to reach our center, located opposite the BSNL Telephone Exchange. "
"what is the address of cdac","The Bengaluru CDAC Center is located at No. 68, 4th Cross, Electronic City Phase 1, Hosur Road, Bengaluru, Karnataka 560100. You can use this address to reach our center, located opposite the BSNL Telephone Exchange. "
"address","The Bengaluru CDAC Center is located at No. 68, 4th Cross, Electronic City Phase 1, Hosur Road, Bengaluru, Karnataka 560100. You can use this address to reach our center, located opposite the BSNL Telephone Exchange. "
"location","The Bengaluru CDAC Center is located at No. 68, 4th Cross, Electronic City Phase 1, Hosur Road, Bengaluru, Karnataka 560100. You can use this address to reach our center, located opposite the BSNL Telephone Exchange. "
"information about fee","Differenet courses have different fees structure for their course,For more information, you can visit the official CDAC website: https://cdac.in"
"information on fee","Differenet courses have different fees structure for their course,For more information, you can visit the official CDAC website: https://cdac.in"
"tell me the fee","Differenet courses have different fees structure for their course,For more information, you can visit the official CDAC website: https://cdac.in"
"what is fee","Differenet courses have different fees structure for their course,For more information, you can visit the official CDAC website: https://cdac.in"
"fees","Differenet courses have different fees structure for their course,For more information, you can visit the official CDAC website: https://cdac.in"
"fee","Differenet courses have different fees structure for their course,For more information, you can visit the official CDAC website: https://cdac.in"
"do you have hostel","yes hostel facility available for both girls and boys"
"do you guys have hostel","yes hostel facility available for both girls and boys"
"is there hostel facility available","yes hostel facility available for both girls and boys"
"Hostel","yes hostel facility available for both girls and boys"
"Stay","yes hostel facility available for both girls and boys"
"hostel capacity","There are 100 beds in the hostel, with equal capacities for boys and girls: 50 each."
"hostel intake","There are 100 beds in the hostel, with equal capacities for boys and girls: 50 each."
"what is the hostel fee","The total hostel fee is 63,000 rupees, of which 9,000 rupees are refundable"
"total fees charged by the hostel","The total hostel fee is 63,000 rupees, of which 9,000 rupees are refundable"
"hostel fees","The total hostel fee is 63,000 rupees, of which 9,000 rupees are refundable"
"hostel charges","The total hostel fee is 63,000 rupees, of which 9,000 rupees are refundable"
"where is the hostel","hostel is located within a campus only"
"where hostel is located ","hostel is located within a campus only"
"what is the hostel address","hostel is located within a campus only"
"how to get in hostel","Once your admission is confirmed, you can apply for hostel accommodation, which will be available on a first-come, first-served basis to the first 100 applicants"
"how to opt for hostel","Once your admission is confirmed, you can apply for hostel accommodation, which will be available on a first-come, first-served basis to the first 100 applicants"
"where should  apply for hostel","Once your admission is confirmed, you can apply for hostel accommodation, which will be available on a first-come, first-served basis to the first 100 applicants"
"hostel booking","Once your admission is confirmed, you can apply for hostel accommodation, which will be available on a first-come, first-served basis to the first 100 applicants"
"booking hostel","Once your admission is confirmed, you can apply for hostel accommodation, which will be available on a first-come, first-served basis to the first 100 applicants"
"hostel college distance","The college is located approximately 200 meters from the hostel site."
"college to hostel distance","The college is located approximately 200 meters from the hostel site."
"distance between college and hostel","The college is located approximately 200 meters from the hostel site."
"distance between hostel and college","The college is located approximately 200 meters from the hostel site."
"how big is the hostel","The hostel offers ample space, with a large size that provides a comfortable environment for residents."
"hostel size","The hostel offers ample space, with a large size that provides a comfortable environment for residents."
"hostel facilities","Hostel facilities cover essential needs like beds, showers, and internet, while amenities offer extras like common area,game rooms, playground, and social events."
"hostel address","68, Phase I, Hosur Road, Electronic City, Opposite Idbi Bank, 5Th Cross Road, Bengaluru, Karnataka"
"college address","68, Phase I, Hosur Road, Electronic City, Opposite Idbi Bank, 5Th Cross Road, Bengaluru, Karnataka"
"hostel location","68, Phase I, Hosur Road, Electronic City, Opposite Idbi Bank, 5Th Cross Road, Bengaluru, Karnataka"
"hostel address","68, Phase I, Hosur Road, Electronic City, Opposite Idbi Bank, 5Th Cross Road, Bengaluru, Karnataka"
"cdac locations","68, Phase I, Hosur Road, Electronic City, Opposite Idbi Bank, 5Th Cross Road, Bengaluru, Karnataka"
"Who is managing hostel facilities ","You can contact Reshma ma'am for any kind of hostel-related complaints. "
"To whom should I complain regarding hostel facilities ","You can contact Reshma ma'am for any kind of hostel-related complaints. "
"who is Hostel coordinator","You can contact Reshma ma'am for any kind of hostel-related complaints. "
"Warden","You can contact Reshma ma'am for any kind of hostel-related complaints. "
"Hostel warden","You can contact Reshma ma'am for any kind of hostel-related complaints. "
"document to bring","10th ,12th and Recent Degree marksheet will we required at the time of admission for documents verifications,fees payment receipt,Admission conformation mail receipt,In addition to the above, please provide two recent passport size photographs for our records"
"documents needed for admision","10th, 12th and Recent Degree marksheet will we required at the time of admission for documents verifications,fees payment receipt,Admission conformation mail receipt,In addition to the above, please provide two recent passport size photographs for our records"
"documents needed at the time of admission","10th ,12th and Recent Degree marksheet will we required at the time of admission for documents verifications,fees payment receipt,Admission conformation mail receipt,In addition to the above, please provide two recent passport size photographs for our records"
